Id,Label,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26
10010091,0,,0,5735,,1441,,,46,,,,,,5a9ed9b0,c5c1d6ae,09c24c52,dea812a4,384874ce,fbad5c96,a6d9bf82,0b153874,a73ee510,02b3a27d,c6c91669,270a8d45,b8a76289,1adce6ef,151f2153,74e0839a,1e88c74f,836a67dd,21ddcdc9,5840adea,a6de4ce0,ad3062eb,dbb486d7,4c9292a4,7a402766,6527ade9
10068124,0,0,0,60,13,2982,50,10,13,19,0,4,2,13,05db9164,80e26c9b,6147a35d,169ffff5,25c83c98,13718bbd,92ce5a7d,51d76abe,a73ee510,794fedab,e0c3cae0,b853b799,e8df3343,07d13a8f,02319a52,5151f2ca,27c07bd6,1f9656b8,21ddcdc9,a458ea53,38483e30,,3a171ecb,1793a828,e8b83407,70b6702c
10099869,0,11,241,3,,781,0,11,0,0,1,1,1,,05db9164,0468d672,16c47b7d,dc56a6c8,25c83c98,7e0ccccf,5ffd8025,0b153874,a73ee510,48beebf8,d0ca2b2f,aa910cce,a6116275,07d13a8f,a888f201,a0613853,3486227d,9880032b,21ddcdc9,b1252a9d,053a45ab,,3a171ecb,becdd73c,ea9a246c,aa5f0a15
10245558,0,,12,45,31,167,52,30,34,112,,6,,31,05db9164,1cfdf714,2267b3ea,df6af1f9,25c83c98,7e0ccccf,7195046d,0b153874,a73ee510,acccca1c,4d8549da,ec8900dc,51b97b8f,b28479f6,d345b1a0,fb1acdb5,3486227d,e88ffc9d,21ddcdc9,b1252a9d,677194b6,ad3062eb,bcdee96c,3fdb382b,b9266ff0,49d68486
10252971,0,,117,1,1,2,,0,1,1,,0,,1,be589b51,86d4fccc,c81d20a1,32a55192,25c83c98,fbad5c96,c480abf1,1f89b562,a73ee510,32390b96,df29f7bb,cdd4f388,67b031b4,1adce6ef,73b77f54,3141102a,e5ba7672,983878fb,21ddcdc9,5840adea,3df2213d,,bcdee96c,42998020,001f3601,94b7bbc9
10280239,1,1,0,2,2,430,2,2,8,48,1,2,,2,17f69355,80e26c9b,e346a5fd,85dd697c,25c83c98,fbad5c96,e500bd33,0b153874,a73ee510,b6900243,a10c0fc9,539c5644,30cbe961,b28479f6,a785131a,aafa191e,07c540c4,005c6740,21ddcdc9,5840adea,7e5b7cc4,,bcdee96c,1793a828,e8b83407,b9809574
10505226,0,,3655,,,43208,56,0,9,31,,0,,,68fd1e64,ef69887a,02391f51,b9c629a9,25c83c98,7e0ccccf,e1623087,0b153874,a73ee510,3b08e48b,f4c5992d,2397259a,618a08a4,07d13a8f,9b5a6a83,d37efe8c,27c07bd6,f953a972,21ddcdc9,5840adea,b6119319,,423fab69,45ab94c8,47907db5,b13f4ade
10546560,0,5,74,12,12,1052,18,5,19,18,1,1,,12,68fd1e64,1cfdf714,ec13b576,c24f736f,43b19349,,78dcd87f,0b153874,a73ee510,bc4c21ef,8aa7f20a,2211576e,706a14b0,687dfaf4,a54fca2b,c85dc1d7,e5ba7672,e88ffc9d,410499c1,b1252a9d,f49e3fc7,ad3062eb,dbb486d7,29ce79bf,e8b83407,0610d914
10653630,0,0,20,31,12,2488,94,3,19,23,0,1,,12,05db9164,207b2d81,905a7b53,0e5acd1d,25c83c98,fe6b92e5,9eec359f,0b153874,a73ee510,888eb996,636405ac,bac9dcdb,31b42deb,07d13a8f,1247bc49,301d75b3,07c540c4,157482f0,21ddcdc9,b1252a9d,278a31a1,,85d5a995,5bceb83a,001f3601,fdd86175
10742897,0,,323,,5,38877,51,5,6,26,,0,,5,05db9164,287130e0,fc64ef93,b3e2674e,25c83c98,,2be44e4e,1f89b562,a73ee510,6f3d6efc,364e8b48,0f4c9eff,34cbb1bc,1adce6ef,d959e25d,f191e44d,e5ba7672,53515e19,6a3f73bd,a458ea53,755c22cc,,32c7478e,a994f5a2,ea9a246c,5036f81d
