Id,Label,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26
49856916,0,,46,1,3,4752,297,12,9,127,,3,,3,05db9164,8084ee93,d032c263,c18be181,25c83c98,7e0ccccf,6978304f,1f89b562,a73ee510,5162b19c,78f92234,dfbb09fb,9be66b48,b28479f6,b2ff8c6b,84898b2a,e5ba7672,52e44668,,,0014c32a,,3a171ecb,3b183c5c,,
49857379,0,0,19,5,6,5577,186,3,48,160,0,1,,6,68fd1e64,2c16a946,e36392d7,1b69e68d,25c83c98,fe6b92e5,dc7659bd,0b153874,a73ee510,6223753a,e51ddf94,e5e66597,3516f6e6,b28479f6,3628a186,acfad74a,07c540c4,e4ca448c,,,8faf099f,,32c7478e,9117a34a,,
50045009,1,3,2,15,25,884,47,12,31,320,1,4,0,25,be589b51,89ddfee8,b0aea3cc,a6cb5175,25c83c98,7e0ccccf,1c86e0eb,0b153874,a73ee510,f7ab55a0,755e4a50,2f429a54,5978055e,07d13a8f,4df3da6b,5cd8eb87,e5ba7672,5bb2ec8e,07995af6,a458ea53,81420e18,,32c7478e,0c3013ca,f0f449dd,d885a38e
50281457,0,,32,,,1116,,0,22,19,,0,,,68fd1e64,38a947a1,1f6c471f,dd867531,43b19349,7e0ccccf,405fef77,5b392875,a73ee510,3b08e48b,e163daf6,183261ff,5a2f4542,1adce6ef,da8122e6,8836a52b,776ce399,401f44c4,,,1147ea33,,be7c41b4,2ff7b3f8,,
50286490,0,,2,4,2,937,60,5,16,54,,2,0,2,68fd1e64,1cfdf714,6df25db8,94065fe5,4cf72387,,f913fba5,5b392875,a73ee510,82747841,c05dff4b,16c218eb,a22449ca,b28479f6,d345b1a0,55dc4f6c,e5ba7672,e88ffc9d,5b885066,b1252a9d,e922a227,,3a171ecb,81603483,e8b83407,22f778c1
50439033,0,8,0,6,12,18,9,26,6,209,1,3,0,9,68fd1e64,a0e12995,1031ad6b,f1c7f203,25c83c98,7e0ccccf,32bdb7cc,0b153874,a73ee510,5e2b169c,1564a011,92d865e6,5e350f6e,07d13a8f,73e2709e,4d897c75,e5ba7672,1616f155,21ddcdc9,5840adea,cf14a0ad,,423fab69,698d3534,e8b83407,e75c9ae9
50497189,0,0,3,1,5,4168,278,17,37,268,0,2,,5,05db9164,b0660259,58e1394d,415e1074,25c83c98,13718bbd,ce4f7f55,5b392875,a73ee510,099b68bd,38f692a7,b55f8d84,6e5da64f,07d13a8f,a92da3f3,17b82863,e5ba7672,ce197d93,,,152df8e8,,c7dc6720,cedad179,,
50534452,1,,4,2,2,9720,68,39,19,54,,1,0,2,05db9164,2a69d406,eb3f3e89,13508380,25c83c98,fe6b92e5,8871c60c,0b153874,a73ee510,1d56e466,c9168a8c,2e1a1065,3c12244d,07d13a8f,3b2d8705,9cd63f2e,e5ba7672,642f2610,55dd3565,b1252a9d,8bb51054,,423fab69,45ab94c8,2bf691b1,c84c4aec
50725994,0,,-1,,,902,317,9,39,883,,4,,,05db9164,3f0d3f28,c2b2b3f5,77a160bd,43b19349,fbad5c96,ec258437,0b153874,a73ee510,5ba575e7,938fe91f,db21b797,f948ca5d,32813e21,e8d4033b,fae7560f,27c07bd6,744ad4a0,,,a17a10b3,ad3062eb,3a171ecb,e5fca70a,,
50886265,1,7,0,160,9,148,24,7,12,9,1,1,8,9,68fd1e64,c5fe64d9,e1af0327,54582660,4cf72387,fbad5c96,e4b9f8b4,0b153874,a73ee510,3b08e48b,1ac15ae5,166fe317,ba344b31,07d13a8f,52b49730,b3e73012,8efede7f,c235abed,a18beb4f,a458ea53,52d8e396,,3a171ecb,da2b2e8b,ea9a246c,c1f5c61c
50920651,0,,0,70,2,4,,0,2,2,,0,,2,5a9ed9b0,207b2d81,80b25c0d,8fa3275d,0942e0a7,,a86d9649,0b153874,a73ee510,8e54038a,aadb87b9,8e15c24e,e9332a03,b28479f6,3c767806,8e2fc5b4,07c540c4,395856b0,21ddcdc9,b1252a9d,09192c91,,3a171ecb,abd6caea,001f3601,209d8e32
51144848,0,3,3,2,3,11,3,12,8,65,2,8,,3,68fd1e64,c5c1d6ae,8018e37d,d8660950,43b19349,fe6b92e5,af54cdc5,0b153874,a73ee510,d3d8086d,02718d7a,22cad86a,e920b070,07d13a8f,b25845fd,2a27c935,e5ba7672,561cabfe,21ddcdc9,5840adea,d479575f,,55dd3565,9b18ad04,7a402766,b47fa085
51372369,1,0,356,13,,7299,114,4,0,2,0,2,,,05db9164,95e2d337,ebe4edfa,ebc42d91,25c83c98,fbad5c96,fa5d9d01,0b153874,a73ee510,3b08e48b,70caa7c8,e8c9d3fa,7253ac71,07d13a8f,4e505ea3,2c52502a,776ce399,7b06fafe,21ddcdc9,5840adea,f8c88eda,c0061c6d,c7dc6720,1b256e61,b9266ff0,3ff1af9e
51377892,0,,10,4,20,18505,370,8,36,356,,4,,20,05db9164,90081f33,375f9423,2c3cb82a,25c83c98,fe6b92e5,559eb1e1,0b153874,a73ee510,1e3af778,91875c79,9ddb00cc,ea519e47,b28479f6,90cfbb67,5f32239f,e5ba7672,622ba7f1,,,abc57bfc,,bcdee96c,abf08f1b,,
